S.No,Country/Region,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Exports_Growth_%,Imports_Growth_%
206,TURKMENISTAN,253.02,616.14,869.15,-363.12,337.7,1145.76,1483.46,-808.07,33.47,85.96
207,TURKS C IS,6.22,3.55,9.77,2.67,12.62,2.69,15.31,9.93,102.81,-24.29
208,U ARAB EMTS,232615.47,305359.91,537975.38,-72744.44,252203.05,424993.83,677196.87,-172790.78,8.42,39.18
209,U K,86933.43,53301.81,140235.24,33631.61,100910.49,61189.72,162100.21,39720.77,16.08,14.8
210,U S A,519996.63,293329.35,813325.98,226667.29,576183.95,324447.09,900631.05,251736.86,10.81,10.61
211,UGANDA,3608.81,6117.15,9725.96,-2508.35,3236.11,1874.45,5110.56,1361.67,-10.33,-69.36
212,UKRAINE,1105.19,2985.14,4090.33,-1879.94,1267.03,7835.07,9102.1,-6568.04,14.64,162.47
213,UNSPECIFIED,20542.19,430.34,20972.54,20111.85,25421.98,920.66,26342.65,24501.32,23.75,113.94
214,URUGUAY,4065.98,875.96,4941.93,3190.02,1078.63,1067.9,2146.54,10.73,-73.47,21.91
215,US MINOR OUTLYING ISLANDS,2.49,0.0,2.49,2.49,4.47,2.23,6.7,2.23,79.43,58893.2
216,UZBEKISTAN,2522.28,150.62,2672.91,2371.66,3539.23,105.37,3644.6,3433.85,40.32,-30.04
217,VANUATU REP,27.18,0.0,27.19,27.18,26.06,4.47,30.53,21.59,-4.13,
218,VATICAN CITY,0.75,0.63,1.38,0.12,,,0.0,0.0,,
219,VENEZUELA,1079.74,2469.04,3548.78,-1389.31,1502.17,10770.83,12273.0,-9268.66,39.12,336.23
220,VIETNAM SOC REP,36708.97,64835.26,101544.23,-28126.29,37987.36,73547.77,111535.13,-35560.41,3.48,13.44
221,VIRGIN IS US,38.86,691.38,730.24,-652.52,31.47,0.7,32.17,30.77,-19.02,-99.9
222,YEMEN REPUBLC,5763.3,1331.06,7094.36,4432.24,6024.95,1145.71,7170.66,4879.24,4.54,-13.93
223,ZAMBIA,1723.91,1524.17,3248.08,199.73,1553.2,1169.86,2723.06,383.35,-9.9,-23.25
224,ZIMBABWE,1122.79,111.0,1233.79,1011.8,1014.53,75.94,1090.47,938.59,-9.64,-31.59
